modName,chromsome,modStart,modEnd,width,strand,HEK293_abacm,HEK293_sysy,A549,CD8T,HeLa,MOLM13
m6A_00001,chr1,100174508,100174509,1,-,1,0,0,0,0,0
m6A_00002,chr1,100329981,100329982,1,+,1,0,0,0,0,0
m6A_00003,chr1,100488048,100488049,1,+,1,0,0,0,0,0
m6A_00004,chr1,100550764,100550765,1,-,1,0,0,0,0,0
m6A_00005,chr1,100681609,100681610,1,-,1,0,0,0,0,0
m6A_00006,chr1,101440460,101440461,1,+,1,0,0,0,0,0
m6A_00007,chr1,10479761,10479762,1,+,1,0,0,0,0,0
m6A_00008,chr1,10479847,10479848,1,+,1,1,0,0,0,0
m6A_00009,chr1,10480004,10480005,1,+,1,1,0,0,0,0
m6A_00010,chr1,10491384,10491385,1,+,1,0,0,0,0,0
m6A_00011,chr1,10491386,10491387,1,+,1,0,0,0,0,0
m6A_00012,chr1,10516851,10516852,1,-,1,1,1,0,1,0
m6A_00013,chr1,10521360,10521361,1,-,1,0,0,0,1,0
m6A_00014,chr1,10521407,10521408,1,-,1,0,0,0,1,0
m6A_00015,chr1,10521458,10521459,1,-,1,0,0,0,0,0
m6A_00016,chr1,10521472,10521473,1,-,1,0,0,0,0,0
m6A_00017,chr1,107599989,107599990,1,+,1,0,0,0,0,0
m6A_00018,chr1,109242563,109242564,1,+,1,0,0,0,0,0
m6A_00019,chr1,109475037,109475038,1,-,1,0,1,0,1,0
m6A_00020,chr1,109514080,109514081,1,-,1,0,0,1,0,0
m6A_00021,chr1,109772156,109772157,1,+,1,0,0,0,0,0
m6A_00022,chr1,109774319,109774320,1,+,1,0,0,0,0,0
m6A_00023,chr1,109779935,109779936,1,+,1,0,0,0,0,0
m6A_00024,chr1,109780475,109780476,1,+,1,0,0,0,1,0
m6A_00025,chr1,109780704,109780705,1,+,1,1,0,1,1,0
m6A_00026,chr1,109793488,109793489,1,+,1,0,0,0,0,0
m6A_00027,chr1,109944641,109944642,1,-,1,0,0,0,0,0
m6A_00028,chr1,110135132,110135133,1,+,1,0,0,1,1,0
